Time,O,H,L,C,V
2021.01.29 04:00, 1.21078,1.2108,1.21036,1.21053,388
2021.01.29 03:00, 1.21066,1.21155,1.21057,1.21077,1915
2021.01.29 02:00, 1.21202,1.21213,1.2103,1.21068,2214
2021.01.29 01:00, 1.21202,1.21237,1.21178,1.21202,443
2021.01.29 00:00, 1.21179,1.21248,1.2115,1.21198,224
2021.01.28 23:00, 1.21254,1.21264,1.21177,1.21209,1835
2021.01.28 22:00, 1.21308,1.21371,1.21242,1.21254,3803
2021.01.28 21:00, 1.21342,1.21395,1.21307,1.21311,3462
2021.01.28 20:00, 1.21246,1.21368,1.21234,1.21342,3881
2021.01.28 19:00, 1.21211,1.21298,1.21204,1.21245,5080
